TestFreq,PatchLength,PatchWidth,SlotLength,SlotWidth,Strength
1.5,33,33,0,0,-4.927274414
1.55172414,33,33,0,0,-5.077876916
1.60344828,33,33,0,0,-5.183707521
1.65517241,33,33,0,0,-5.215996949
1.70689655,33,33,0,0,-5.120009003
1.75862069,33,33,0,0,-4.80620002
1.81034483,33,33,0,0,-4.16006058
1.86206897,33,33,0,0,-3.114092766
1.9137931,33,33,0,0,-1.82466684
1.96551724,33,33,0,0,-0.858076708
2.01724138,33,33,0,0,-0.927208749
2.06896552,33,33,0,0,-2.142741839
2.12068966,33,33,0,0,-4.155314155
2.17241379,33,33,0,0,-6.822625176
2.22413793,33,33,0,0,-10.2029523
2.27586207,33,33,0,0,-13.25408417
2.32758621,33,33,0,0,-12.22972947
2.37931034,33,33,0,0,-9.162044377
2.43103448,33,33,0,0,-6.74308077
2.48275862,33,33,0,0,-5.345674533
2.53448276,33,33,0,0,-3.946827784
2.5862069,33,33,0,0,-3.163315467
2.63793103,33,33,0,0,-2.609840043
2.68965517,33,33,0,0,-2.20780716
2.74137931,33,33,0,0,-1.905804158
2.79310345,33,33,0,0,-1.669968042
2.84482759,33,33,0,0,-1.477762174
2.89655172,33,33,0,0,-1.314036585
2.94827586,33,33,0,0,-1.168572078
3,33,33,0,0,-1.034585307
1.5,31,32,85,115,-4.180664516
1.55172414,31,32,85,115,-4.799705484
1.60344828,31,32,85,115,-5.29417858
1.65517241,31,32,85,115,-5.641226729
1.70689655,31,32,85,115,-5.789695436
1.75862069,31,32,85,115,-5.617643428
1.81034483,31,32,85,115,-4.838031674
1.86206897,31,32,85,115,-3.115739374
1.9137931,31,32,85,115,-3.851626128
1.96551724,31,32,85,115,-8.290900768
2.01724138,31,32,85,115,-10.80800544
2.06896552,31,32,85,115,-12.21186848
2.12068966,31,32,85,115,-13.37644025
2.17241379,31,32,85,115,-14.65971901
2.22413793,31,32,85,115,-16.28261757
2.27586207,31,32,85,115,-18.49937348
2.32758621,31,32,85,115,-21.6505568
2.37931034,31,32,85,115,-25.07970862
2.43103448,31,32,85,115,-23.08372824
2.48275862,31,32,85,115,-18.32189501
2.53448276,31,32,85,115,-14.55024456
2.5862069,31,32,85,115,-11.67511049
2.63793103,31,32,85,115,-9.43156953
2.68965517,31,32,85,115,-7.665746779
2.74137931,31,32,85,115,-6.285081734
2.79310345,31,32,85,115,-5.222915863
2.84482759,31,32,85,115,-4.421833944
2.89655172,31,32,85,115,-3.82753186
2.94827586,31,32,85,115,-3.386910484
3,31,32,85,115,-3.046399787
1,87,130,20,40,-0.688908132
1.01,87,130,20,40,-0.66555341
1.02,87,130,20,40,-0.648567798
1.03,87,130,20,40,-0.636213944
1.04,87,130,20,40,-0.627207441
1.05,87,130,20,40,-0.620595209
1.06,87,130,20,40,-0.615668401
1.07,87,130,20,40,-0.611899495
1.08,87,130,20,40,-0.60889649
1.09,87,130,20,40,-0.606369261
1.1,87,130,20,40,-0.604104632
1.11,87,130,20,40,-0.601947773
1.12,87,130,20,40,-0.599788189
1.13,87,130,20,40,-0.597549108
1.14,87,130,20,40,-0.595179381
1.15,87,130,20,40,-0.59264727
1.16,87,130,20,40,-0.589935656
1.17,87,130,20,40,-0.587038331
1.18,87,130,20,40,-0.583957125
1.19,87,130,20,40,-0.580699671
1.2,87,130,20,40,-0.577277668
1.21,87,130,20,40,-0.573705545
1.22,87,130,20,40,-0.569999424
1.23,87,130,20,40,-0.566176324
1.24,87,130,20,40,-0.562253567
1.25,87,130,20,40,-0.55824833
1.26,87,130,20,40,-0.554177315
1.27,87,130,20,40,-0.550056523
1.28,87,130,20,40,-0.545901097
1.29,87,130,20,40,-0.541725229
1.3,87,130,20,40,-0.537542106
1.31,87,130,20,40,-0.533363905
1.32,87,130,20,40,-0.529201802
1.33,87,130,20,40,-0.525066011
1.34,87,130,20,40,-0.520965833
1.35,87,130,20,40,-0.51690972
1.36,87,130,20,40,-0.512905345
1.37,87,130,20,40,-0.508959677
1.38,87,130,20,40,-0.505079058
1.39,87,130,20,40,-0.501269284
1.4,87,130,20,40,-0.497535686
1.41,87,130,20,40,-0.493883212
1.42,87,130,20,40,-0.490316502
1.43,87,130,20,40,-0.486839973
1.44,87,130,20,40,-0.483457896
1.45,87,130,20,40,-0.480174472
1.46,87,130,20,40,-0.476993919
1.47,87,130,20,40,-0.473920542
1.48,87,130,20,40,-0.470958827
1.49,87,130,20,40,-0.468113516
1.5,87,130,20,40,-0.465389707
1.51,87,130,20,40,-0.462792944
1.52,87,130,20,40,-0.460329323
1.53,87,130,20,40,-0.458005607
1.54,87,130,20,40,-0.455829357
1.55,87,130,20,40,-0.453809069
1.56,87,130,20,40,-0.451954347
1.57,87,130,20,40,-0.450276086
1.58,87,130,20,40,-0.448786699
1.59,87,130,20,40,-0.447500372
1.6,87,130,20,40,-0.446433378
1.61,87,130,20,40,-0.445604442
1.62,87,130,20,40,-0.445035186
1.63,87,130,20,40,-0.444750667
1.64,87,130,20,40,-0.444780032
1.65,87,130,20,40,-0.445157329
1.66,87,130,20,40,-0.445922502
1.67,87,130,20,40,-0.447122634
1.68,87,130,20,40,-0.448813515
1.69,87,130,20,40,-0.451061616
1.7,87,130,20,40,-0.45394661
1.71,87,130,20,40,-0.457564624
1.72,87,130,20,40,-0.462032446
1.73,87,130,20,40,-0.467493058
1.74,87,130,20,40,-0.474122952
1.75,87,130,20,40,-0.482141946
1.76,87,130,20,40,-0.491826482
1.77,87,130,20,40,-0.503527912
1.78,87,130,20,40,-0.517697959
1.79,87,130,20,40,-0.534924769
1.8,87,130,20,40,-0.555984768
1.81,87,130,20,40,-0.581918658
1.82,87,130,20,40,-0.614145022
1.83,87,130,20,40,-0.654633897
1.84,87,130,20,40,-0.706178344
1.85,87,130,20,40,-0.77283054
1.86,87,130,20,40,-0.860621967
1.87,87,130,20,40,-0.978788749
1.88,87,130,20,40,-1.141921189
1.89,87,130,20,40,-1.373844632
1.9,87,130,20,40,-1.714773359
1.91,87,130,20,40,-2.234449375
1.92,87,130,20,40,-3.054366729
1.93,87,130,20,40,-4.370823358
1.94,87,130,20,40,-6.373168537
1.95,87,130,20,40,-8.451022432
1.96,87,130,20,40,-8.11970089
1.97,87,130,20,40,-5.964682974
1.98,87,130,20,40,-4.174157065
1.99,87,130,20,40,-3.014919499
2,87,130,20,40,-2.282189894
2.01,87,130,20,40,-1.807253254
2.02,87,130,20,40,-1.488354836
2.03,87,130,20,40,-1.266692343
2.04,87,130,20,40,-1.107805568
2.05,87,130,20,40,-0.990888296
2.06,87,130,20,40,-0.902953674
2.07,87,130,20,40,-0.83562946
2.08,87,130,20,40,-0.78335484
2.09,87,130,20,40,-0.742335376
2.1,87,130,20,40,-0.709918709
2.11,87,130,20,40,-0.684210586
2.12,87,130,20,40,-0.663832199
2.13,87,130,20,40,-0.647762948
2.14,87,130,20,40,-0.635236194
2.15,87,130,20,40,-0.625668716
2.16,87,130,20,40,-0.618612067
2.17,87,130,20,40,-0.613718475
2.18,87,130,20,40,-0.610716616
2.19,87,130,20,40,-0.609394195
2.2,87,130,20,40,-0.609585351
2.21,87,130,20,40,-0.61116155
2.22,87,130,20,40,-0.614025085
2.23,87,130,20,40,-0.618104615
2.24,87,130,20,40,-0.623352397
2.25,87,130,20,40,-0.629743048
2.26,87,130,20,40,-0.637273815
2.27,87,130,20,40,-0.64596648
2.28,87,130,20,40,-0.655871086
2.29,87,130,20,40,-0.667071587
2.3,87,130,20,40,-0.679692865
2.31,87,130,20,40,-0.693906107
2.32,87,130,20,40,-0.709921974
2.33,87,130,20,40,-0.727938857
2.34,87,130,20,40,-0.747955239
2.35,87,130,20,40,-0.769235952
2.36,87,130,20,40,-0.789178906
2.37,87,130,20,40,-0.802331601
2.38,87,130,20,40,-0.803467395
2.39,87,130,20,40,-0.795568358
2.4,87,130,20,40,-0.788553753
2.41,87,130,20,40,-0.788380745
2.42,87,130,20,40,-0.794981597
2.43,87,130,20,40,-0.806327203
2.44,87,130,20,40,-0.820669367
2.45,87,130,20,40,-0.836892417
2.46,87,130,20,40,-0.854340915
2.47,87,130,20,40,-0.872632141
2.48,87,130,20,40,-0.891535354
2.49,87,130,20,40,-0.910903139
2.5,87,130,20,40,-0.930633592
2.51,87,130,20,40,-0.950649482
2.52,87,130,20,40,-0.970886627
2.53,87,130,20,40,-0.9912873
2.54,87,130,20,40,-1.011796463
2.55,87,130,20,40,-1.032359602
2.56,87,130,20,40,-1.052921526
2.57,87,130,20,40,-1.073425737
2.58,87,130,20,40,-1.093814191
2.59,87,130,20,40,-1.11402729
2.6,87,130,20,40,-1.134004068
2.61,87,130,20,40,-1.153682503
2.62,87,130,20,40,-1.172999931
2.63,87,130,20,40,-1.191893544
2.64,87,130,20,40,-1.210300954
2.65,87,130,20,40,-1.228160808
2.66,87,130,20,40,-1.245413442
2.67,87,130,20,40,-1.262001555
2.68,87,130,20,40,-1.277870901
2.69,87,130,20,40,-1.292970969
2.7,87,130,20,40,-1.307255651
2.71,87,130,20,40,-1.320683862
2.72,87,130,20,40,-1.333220131
2.73,87,130,20,40,-1.344835104
2.74,87,130,20,40,-1.355505993
2.75,87,130,20,40,-1.365216918
2.76,87,130,20,40,-1.373959169
2.77,87,130,20,40,-1.381731347
2.78,87,130,20,40,-1.388539414
2.79,87,130,20,40,-1.394396625
2.8,87,130,20,40,-1.399323356
2.81,87,130,20,40,-1.403346833
2.82,87,130,20,40,-1.406500767
2.83,87,130,20,40,-1.408824905
2.84,87,130,20,40,-1.410364509
2.85,87,130,20,40,-1.411169774
2.86,87,130,20,40,-1.411295212
2.87,87,130,20,40,-1.410798991
2.88,87,130,20,40,-1.409742265
2.89,87,130,20,40,-1.408188507
2.9,87,130,20,40,-1.406202842
2.91,87,130,20,40,-1.403851408
2.92,87,130,20,40,-1.401200745
2.93,87,130,20,40,-1.398317227
2.94,87,130,20,40,-1.395266536
2.95,87,130,20,40,-1.392113191
